[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
OSC Coordinator: Starting layer3 at offset 1.0s
DEBUG ~getLayerMelodyDynamic: layer=layer3, melodyKey=layer0, melodyData keys=[durationType, metadata, name, noteDurations, patterns, timing, totalDuration, velocities]
  patterns size: 1
  metadata: ('totalDuration': 4, 'scale': phrygian, 'key': F, 'durationType': fractional)
  durationType: fractional
Starting layer layer3 with 1 notes, duration: 10.0s
OSC: Layer 3 note 60 vel 64 dur 0.079999998211861
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 10]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 87]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 174]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 251]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 338]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 415]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 502]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 578]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 666]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 742]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 830]
[[/bend OSC]: Routing to layer VST group:, Layer1, instances:, 1]
[[/bend OSC]: VST Index:, 0, BendVal:, 0]
